product,lower_band_pd,upper_band_pd,lower_sources,upper_sources,rationale,last_review_date,next_review_due
term_loan,0.005000,0.060000,APRA_PERF_COMMERCIAL_NPL_2024Q4,APRA_PERF_COMMERCIAL_NPL_2024Q4,Upper band = 4× APRA system-wide commercial NPL. Reasonable cap\nfor a non-bank SME term loan book given non-bank-vs-bank\nselection differential. Lower band = 0.5× system NPL (anything\nbelow this is unrealistic for non-bank lending).,2026-04-28,2026-10-31
line_of_credit,0.005000,0.075000,APRA_PERF_COMMERCIAL_NPL_2024Q4,APRA_PERF_COMMERCIAL_NPL_2024Q4,Revolving facility characteristics warrant slightly higher upper\nband than term lending (~25% uplift to account for utilisation\ndrift and faster delinquency emergence).,2026-04-28,2026-10-31
invoice_finance,0.005000,0.045000,APRA_PERF_COMMERCIAL_NPL_2024Q4,APRA_PERF_COMMERCIAL_NPL_2024Q4,Short-tenor product with security in receivables; shorter\nobservation cycle but lower PD per period.,2026-04-28,2026-10-31
trade_finance,0.003000,0.030000,CBA_PILLAR3_CORP_SME_2024H2,CBA_PILLAR3_CORP_SME_2024H2,Big 4 corporate Pillar 3 × 2. Trade finance peer class is closer\nto corporate-general than to SME.,2026-04-28,2026-10-31
asset_finance,0.005000,0.060000,APRA_PERF_COMMERCIAL_NPL_2024Q4,APRA_PERF_COMMERCIAL_NPL_2024Q4,Pepper Money's asset finance loss expense ~3.5% in 2024 (with\nlate-stage arrears uplift). Upper band ~25% above as buffer.\nSource ID will switch to PEPPER_ASSET_FINANCE_LOSS_EXPENSE_2024\nwhen the Pepper adapter parses real disclosures.,2026-04-28,2026-10-31
bridging,0.015000,0.080000,APS113_SLOTTING_GOOD_PD,LATROBE_BRIDGING_REALISED_LOSS|APS113_SLOTTING_SATIS_PD,"La Trobe published realised bridging loss is 0.8% of book.\nImplied default rate ≈ 0.8% / ~30% LGD = ~2.7%; upper band\n≈ 2× this gives 5–6%, rounded up to 8% accounting for\ndefinition-alignment uncertainty. APS 113 Satisfactory PD\n= 2.4% provides a cross-check.",2026-04-28,2026-10-31
development,0.008000,0.050000,APS113_SLOTTING_GOOD_PD,APS113_SLOTTING_WEAK_PD,"APS 113 specialised lending slotting grades directly bracket\nthe realistic range for development PD. Strong=0.4%, Good=0.8%,\nSatisfactory=2.4%, Weak=5%. LRA below Good or above Weak warrants\nreview.",2026-04-28,2026-10-31
commercial_property,0.005000,0.050000,APRA_QPEX_CRE_IMPAIRED_2024Q4,APRA_QPEX_CRE_IMPAIRED_2024Q4|CBA_PILLAR3_CRE_PD_2024H2,APRA QPEX system-wide CRE impaired ratio is the canonical\nbenchmark. Upper band = 2.5× this allows for non-bank book\ncomposition; lower band = 0.5× catches under-conservatism.,2026-04-28,2026-10-31
residential_mortgage_arrears,0.005000,0.025000,sp_spin_prime,sp_spin_prime,Prime residential RMBS 30+ DPD arrears band for future bridging\nLGD and stress-testing reality checks. Not consumed by the\ncommercial-lending PD workbook.,2026-04-28,2026-10-31
residential_mortgage_specialist_arrears,0.020000,0.060000,sp_spin_non_conforming,sp_spin_non_conforming,Non-conforming residential RMBS 30+ DPD arrears band for future\nbridging LGD and stress-testing reality checks. Not consumed by\nthe commercial-lending PD workbook.,2026-04-28,2026-10-31
